Gene names,2015 Dill LPS Late
Dram2,0.847699967
Drg1,0
Dscr3,1.10988334
Dstyk,0.839733321
Dtx3l,0.252386666
Dusp22,0.500260001
Dusp3,0
Dync1h1,0.811023337
Dync1i2,0
Dync1li1,2.004033148
Dynll2,0.814686646
E030010N08Rik,0.119280036
Ear2;Ear3,1.062676717
Ece1,0.528603334
Echs1,0.995090008
Edil3,1.106030017
Eea1,0.317210047
Eef1a1,1.236333324
Eef1b,0.336066683
Eef1d,0.375366654
Eef1g,0.949006707
Eef2,0.951033324
Efhd2,0.74373333
Ehbp1l1,0
Ehd1,1.638000038
Ehd4,1.422016643
Eif1a;Eif1ax,1.245066894
Eif2s1,0.751923329
Eif2s3x;Eif2s3y,0.575866658
Eif3d,0.729369967
Eif3l,0
Eif4a1;Eif4a2,1.112926684
Eif4e,1.003179986
Eif4e2,0
Eif4enif1,0.333239992
Eif4g1,0.959860001
Eif4g2,0.838286658
Eif4h,1.550899992
Eif5a;Eif5a2,1.025159997
Eif6,1.080316661
Elavl1,0.877699987
Elmo1,0.953629994
Elmo2,0
Elovl1,0.914200011
Emb,0.902056686
Emd,1.640200123
Emp2,0.858486642
Emr1,0.626239986
Endod1,1.021566667
Eno1,1.057670008
Ensa,0.635333325
Entpd1,0.595149985
Eny2,1.10475332
Epb4.1;Epb41,0.834833328
Epb4.1l1;Epb41l1,0.148936627
Epb41l2,0.624403362
Ephx1,1.271283317
Eppk1,0.404233334
Eps15l1,0.989626665
Erap1,0.495266656
Erbb2ip,0.177306668
Ergic1,0.499199986
Erh,0.904766668
Erlin1,1.255466682
Erlin2,1.044276654
Erp29,1.197866647
Erp44,0.990523343
Esd,1.25196668
Esyt1,0.826413347
Esyt2,0
Etf1,1.414266649
Etfa,0.544789978
Etfb,0.766926663
Etfdh,0
Evi2a,0.190136669
Evi2b,0.586936698
Evl,1.244860014
Ewsr1,1.015606688
Ezr,0.929870001
F13a1,0
Faf2,0.545366654
Fam108b1,1.412533304
FAM120A,0
Fam125a,0.850166681
Fam129a,1.391709939
Fam129b,0.993226663
Fam168a,0.684136641
Fam177a1,0.134910028
Fam195b,0
Fam21,0.793343356
Fam26f,2.158966891
Fam3c,0.58933333
Fam45a,0.836533347
Fam49b,0.971099996
Fam50a,1.89656672
Fam54b,1.122600004
Far1,0.226700016
Farsa,0.385699986
Farsb,0.326629959
Fbln2,0
Fcer1g,0.962886655
Fcgr1,0.765029989
Fcgr2;Fcgr2b,0.547593295
Fcgr3,0.18854334
Fcgr3P08508,0.673809996
Fcgrt,0.211690011
Fcrls,0.78736668
Fdps,0.666616669
Fen1,1.555766901
Fermt3,1.059859989
Fes,1.400359995
Fh,1.017126705
Fis1,1.455033358
Fkbp15,0.836283332
Fkbp2,1.210000004
Fkbp8,1.165506671
Flcn,0.288023334
Flna,1.176300016
Flnc,0.558410003
Flot1,1.341299961
Flot2,1.219266705
Fmnl1,1.009706654
Fn1,0.739180006
Fnbp1,1.693700183
Folr2,0.688596675
Frmd8,0.223749986
FRRS1,0.745936675
Fth1,0.539706629
