Gene names,2015 Dill Mannan Early
Cnot4,0
Cnp,1.126433288
Cnpy2,0.405599984
Cnpy3,0.750700058
Cnpy4,0.395356641
Col4a4,0.417606628
Col6a3,0
Colec12,1.369600022
Commd1,0.890340003
Commd10,0.840553348
Commd2,1.065270031
Commd3,0.867203347
Commd4,0.936446657
Commd5,0.969090012
Commd6,0.818010012
Commd7,0.964823337
Commd8,1.14789998
Commd9,0.89583333
Comt,0.657183342
Copb2,0.367833326
Coro1a,1.439766687
Coro1c,0.825566669
Coro2a,0.654583338
Cotl1,0.453656629
Cox4i1,0.707359995
Cox4nb,0.193143335
Cox5a,0.720763342
Cox5b,0.875669979
Cox6a1,0.386813351
Cox6b1,0.705163326
Cox6c,1.09631334
Cox7a2,0.592173327
Cox7c,0.795149988
Cpd,1.326933291
Cpne1,0.692206667
Cpne2,0.998466653
Cpne3,1.711866612
Cpq,0.839683345
Cpt1a,0.552833329
Cr1l,1.667066556
Creg1,0.952823346
Crip1,1.145503347
Cs,0.65952333
Csf1,1.690066741
Csf1r,1.296666674
Csf2ra,0
Csk,0
Csnk1a1,0.778666673
Csnk1g3,1.241866673
Csnk2b,0.45039999
Csrp1,1.045803321
Cst3,0.885406653
Cst7,0
Cstb,0.676650054
Ctbs,0.73738335
Ctdsp1,0.949383321
Ctnnd1,1.163533372
Ctsa,0.867013331
Ctsb,0.928570005
Ctsc,0.774026665
Ctsd,0.746999979
Ctsf,0.385039995
Ctsh,0.744553346
Ctsl1,1.048383307
Ctso,0
Ctss,0.800836649
Ctsz,0.685063315
Cttnbp2nl,0.596133356
Cuedc2,0.745786683
Cux1,0
Cwc15,1.471733333
Cxcl2,0
Cyb5a;Cyb5,0.816506646
Cyb5b,0.833473331
Cyb5r3,0.819016675
Cyba,1.070836652
Cybb,0.935873343
Cyc1,0.43169999
Cyfip1,1.272399987
Cyp20a1,0.912460027
D10Jhu81e,0.36909335
D10Wsu52e,0.736433323
D17Wsu104e,0.826646681
Dab2,1.718133309
Dad1,0.877680003
Daglb,0.885450002
Dars,0
Dbi,1.027900032
Dbr1,0.741586638
Ddb1,0.398433318
Ddost,0.951840028
Ddrgk1,0.584590007
Ddx1,1.670333338
Ddx39b;Ddx39a,1.586236583
Ddx3x;D1Pas1,1.117133291
Ddx3y,0.507710008
Ddx42,1.050153344
Ddx46,0.961790038
Ddx5,0.924943363
Decr1,0
Degs1,1.057660009
Dek,0
Dennd1a,0.895136647
Dhrs1,0.876616662
Dhrs4,0.383500031
Dhrs7,0.864736655
Dhx15,0
Dhx9,0
Diap1;Diaph1,0.83495667
Diap2;Diaph2,0.896326673
Dirc2,0.520733334
Dlat,0.768600007
Dld,0.682706662
Dlst,0.621180009
Dmxl1,1.161066695
Dnaja1,1.366399987
Dnaja2,1.365266685
Dnajb11,1.007143331
Dnajb6,1.484999967
Dnajc13,0.855003333
Dnajc3,1.131566686
Dnajc5,0.829629988
Dnajc8,1.058120013
Dnajc9,1.062993316
Dnase1l1,1.776733464
Dnase2;Dnase2a,0.829719973
Dnm2,1.037583365
Dnm3,0.21863667
Dock2,1.097960018
Dock8,0.795766633
Dok1,0.265363343
Dok2,0
Dok3,0
Dpep2,1.483533215
Dpm1,0
Dpp7,0.852173309
Dpysl2,0.895379988
Dram1,0.97184667
Dram2,0.508403367
Drg1,0.356566668
Dscr3,0.920803327
Dstyk,0.33829999
Dtx3l,0.231916665
Dusp22,0.374903322
Dusp3,0
Dync1h1,0.664216653
Dync1i2,0
Dync1li1,0.63211998
Dynll2,0.700493365
E030010N08Rik,0.228549996
Ear2;Ear3,0.471876652
Ece1,1.302566686
Echs1,1.019566646
Edil3,1.143106692
Eea1,1.134889984
Eef1a1,1.260933319
Eef1b,0
Eef1d,0.460899977
Eef1g,1.059353319
Eef2,1.262000011
Efhd2,1.232536829
Ehbp1l1,0
Ehd1,1.042766658
Ehd4,1.073239973
Eif1a;Eif1ax,0
Eif2s1,0.80594333
Eif2s3x;Eif2s3y,0.512933321
Eif3d,1.094976658
Eif3l,0
Eif4a1;Eif4a2,1.122899998
Eif4e,1.011966643
Eif4e2,0
Eif4enif1,0.266059994
Eif4g1,1.03119667
Eif4g2,1.202066668
Eif4h,0.973113324
Eif5a;Eif5a2,1.15629998
Eif6,0.990546658
Elavl1,1.45743338
Elmo1,1.261600007
Elmo2,0.277756677
Elovl1,0
Emb,1.445266667
Emd,1.058913353
Emp2,0.963033298
Emr1,1.536843322
Endod1,0.474466686
Eno1,0.879946673
Ensa,0.386733327
Entpd1,1.50053333
Eny2,1.096343345
Epb4.1;Epb41,1.359666631
Epb4.1l1;Epb41l1,1.535599959
Epb41l2,1.53526665
Ephx1,0.856523323
Eppk1,0.961083346
Eps15l1,1.349466671
Erap1,0.643500001
Erbb2ip,1.457766655
Ergic1,0.440333313
Erh,0.241039986
Erlin1,0.934106642
Erlin2,0.841346655
Erp29,0.787766662
Erp44,0.884023356
Esd,1.011023328
Esyt1,0.923909978
Esyt2,0
Etf1,1.357866676
Etfa,0.584030004
Etfb,0.658189994
Etfdh,0
Evi2a,0.890366681
Evi2b,1.64076682
Evl,1.069216687
Ewsr1,0
Ezr,1.587766646
F13a1,0
Faf2,0.435763341
Fam108b1,0.736513347
FAM120A,0
Fam125a,0.868536667
Fam129a,0.323726674
Fam129b,1.231333336
Fam168a,0.795186683
Fam177a1,0
