Gene names,2015 Dill Calreticulin Early
Col4a4,0
Col6a3,0
Colec12,2.231433362
Commd1,0.947666665
Commd10,1.008463323
Commd2,1.005893354
Commd3,0.898889995
Commd4,0.928603358
Commd5,0.938356668
Commd6,1.015363327
Commd7,0.981770008
Commd8,0.752906667
Commd9,1.070339981
Comt,0.970663366
Copb2,0.943633327
Coro1a,1.593533318
Coro1c,1.311166715
Coro2a,0.827016662
Cotl1,1.036026688
Cox4i1,0.700426678
Cox4nb,0.435070002
Cox5a,0.61774999
Cox5b,0.756646678
Cox6a1,0.709563329
Cox6b1,0.650710008
Cox6c,0.766296694
Cox7a2,0.60625667
Cox7c,0.226936661
Cpd,0.591613349
Cpne1,0.674759987
Cpne2,1.341966611
Cpne3,1.522366706
Cpq,0.889260007
Cpt1a,1.180389977
Cr1l,1.71793338
Creg1,0.986059981
Crip1,1.140700022
Cs,0.693029994
Csf1,1.381833372
Csf1r,1.048203305
Csf2ra,0
Csk,1.161866645
Csnk1a1,0.79136669
Csnk1g3,0.498099994
Csnk2b,0.402500003
Csrp1,0.93046
Cst3,0.949743351
Cst7,0
Cstb,1.258999987
Ctbs,0.821773347
Ctdsp1,0.734996667
Ctnnd1,1.236100001
Ctsa,0.85731003
Ctsb,0.784326666
Ctsc,0.745523338
Ctsd,0.749266673
Ctsf,0.79041333
Ctsh,0.757883333
Ctsl1,1.12846664
Ctso,0
Ctss,0.856156656
Ctsz,0.782959982
Cttnbp2nl,1.12083336
Cuedc2,0.277459999
Cux1,0
Cwc15,0.551289995
Cxcl2,0
Cyb5a;Cyb5,0.878573315
Cyb5b,1.115893339
Cyb5r3,0.828286658
Cyba,0.988610008
Cybb,0.95691667
Cyc1,0.595540005
Cyfip1,1.25673335
Cyp20a1,0.59016002
D10Jhu81e,0.204369994
D10Wsu52e,1.412766656
D17Wsu104e,1.008783332
Dab2,2.090766381
Dad1,1.019910007
Daglb,0.893563325
Dars,0
Dbi,0.715999996
Dbr1,0.785506651
Ddb1,0.879300005
Ddost,1.0056567
Ddrgk1,0
Ddx1,1.308436688
Ddx39b;Ddx39a,1.128093305
Ddx3x;D1Pas1,0.916759996
Ddx3y,0.637399949
Ddx42,0.911360032
Ddx46,0.308106666
Ddx5,0.760343329
Decr1,0
Degs1,0.98150666
Dek,0
Dennd1a,1.132299986
Dhrs1,0.782069982
Dhrs4,0.543806671
Dhrs7,0.874556635
Dhx15,0.438066683
Dhx9,0
Diap1;Diaph1,0.86783333
Diap2;Diaph2,0.630526688
Dirc2,0.59949
Dlat,0.590166646
Dld,0.685613325
Dlst,0.716219995
Dmxl1,0.967029986
Dnaja1,1.525266698
Dnaja2,1.285006681
Dnajb11,0.901200009
Dnajb6,1.248600017
Dnajc13,0.878429988
Dnajc3,1.058999963
Dnajc5,0.945360013
Dnajc8,0.853170001
Dnajc9,1.222899991
Dnase1l1,1.741733314
Dnase2;Dnase2a,0.820030012
Dnm2,1.409033322
Dnm3,0.549433354
Dock2,0.953136641
Dock8,0.443160006
Dok1,0.338999986
Dok2,1.304789987
Dok3,0.194023338
Dpep2,0.518199992
Dpm1,0.311223328
Dpp7,0.883459986
Dpysl2,1.233480185
Dram1,0.789099977
Dram2,0.463619959
Drg1,1.245999966
Dscr3,0.929136637
Dstyk,0
Dtx3l,1.281829934
Dusp22,0.246819979
Dusp3,0.776266804
Dync1h1,0.82555667
Dync1i2,0
Dync1li1,0.343266684
Dynll2,0.495120007
E030010N08Rik,0
Ear2;Ear3,0.478409995
Ece1,0.93689001
Echs1,0.94263333
Edil3,1.099066703
Eea1,1.545966644
Eef1a1,1.263033374
Eef1b,0.695759998
Eef1d,0.492333324
Eef1g,1.20766664
Eef2,1.704066833
Efhd2,1.389816846
Ehbp1l1,1.132633315
Ehd1,1.081600018
Ehd4,1.196166731
Eif1a;Eif1ax,0
Eif2s1,1.304966649
Eif2s3x;Eif2s3y,0.674266815
Eif3d,0.673283365
Eif3l,0
Eif4a1;Eif4a2,1.445333341
Eif4e,1.145289968
Eif4e2,0.357733319
Eif4enif1,0.41534666
Eif4g1,0.911653293
Eif4g2,1.138099988
Eif4h,0.958566663
Eif5a;Eif5a2,1.380400092
Eif6,1.012310043
Elavl1,0.821566686
Elmo1,1.223433306
Elmo2,0.649586691
Elovl1,0
Emb,1.488066703
Emd,1.098216649
Emp2,0.537499977
Emr1,1.551100067
Endod1,0.668653354
Eno1,0.937623335
Ensa,0.221796668
Entpd1,1.672566815
Eny2,1.032969969
Epb4.1;Epb41,1.496166608
Epb4.1l1;Epb41l1,1.604966759
Epb41l2,1.805633312
Ephx1,0.889819991
Eppk1,0.651316691
Eps15l1,1.531399995
Erap1,0.205246667
Erbb2ip,1.847933223
Ergic1,0.308559988
Erh,0.475009995
Erlin1,0.941416659
Erlin2,0.856766666
Erp29,0.754139995
Erp44,0.89194667
Esd,1.36833335
Esyt1,0.981963328
Esyt2,1.056116707
Etf1,1.352966725
Etfa,0.705893314
Etfb,0.680033324
Etfdh,0
Evi2a,1.08113334
Evi2b,1.817033208
Evl,1.174566662
Ewsr1,0.320706667
Ezr,1.8519632
F13a1,0
Faf2,0.600616699
Fam108b1,0.756026661
FAM120A,0
Fam125a,0.943996655
Fam129a,0
Fam129b,1.170433348
Fam168a,0.910606653
Fam177a1,0
Fam195b,0
Fam21,0.989513335
Fam26f,1.091926681
Fam3c,0.973473347
Fam45a,0.843743333
Fam49b,1.355533329
Fam50a,0.846720016
Fam54b,1.007756692
Far1,1.049156676
Farsa,1.17353333
Farsb,1.655066606
Fbln2,0
Fcer1g,1.444533322
Fcgr1,2.087966385
Fcgr2;Fcgr2b,1.101269979
Fcgr3,0.483733313
Fcgr3P08508,1.499999998
Fcgrt,0
Fcrls,1.1367
Fdps,0.985499953
Fen1,1.128873361
Fermt3,1.717700038
Fes,1.209160042
Fh,0.693573331
Fis1,1.081843334
Fkbp15,1.04644333
Fkbp2,0.858786668
Fkbp8,0.727009986
Flcn,1.011520012
Flna,1.05300001
Flnc,0.554093345
Flot1,0.769660004
