Gene names,2015 Dill Complement Early
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,1.171603373
Gm17352;Rps18;Gm5321,1.401566682
Gm20390;Nme2;Nme1,1.082896675
Gm20425;Srprb,0.801326675
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,0.758816665
Gm20489;Il2rg,0.929966667
Gm20498;Synj2bp,0
Gm2382;Mthfs,0.432033353
Gm2a,0.800893304
Gm5431;OTTMUSG00000005540;9930111J21Rik,0.97433334
Gm5576;Eif4a3,0.285760002
Gm6377,0
Gm8394;Psma5,0.770500019
Gm9755;Tufm,0.836826666
Gmip,0.783433315
Gmpr2,0.732160049
Gna13,1.496533321
Gnai2;Gnai1,1.209033309
Gnai3,1.008490026
Gnaq,1.655166681
Gnas,1.547666673
Gnb1,1.062186647
Gnb2,1.205666687
Gnb2l1,1.319926617
Gnb4,0.32760334
Gng12,1.095583347
Gng2,0.849069994
Gng5,1.019236675
Gns,0.759769995
Golga1,0.495760004
Golga4,1.034356666
Golga5,0.643546661
Golga7,1.093976688
Golgb1,0
Gosr1,0.230986669
Got2,0.874756664
Gp49a,0.567666653
Gpatch8,0.327663341
Gpd2,0.442933309
Gpi;Gm1840,1.13226336
Gpld1,0
Gpnmb,0.748533332
Gpr107,1.010340018
Gpr108,0.713063354
Gpr137b,0.533959914
Gpsm3,0.720533322
Gpx1,1.197199987
Gpx4,0.844253321
Grap2,0
Grb2,1.636000086
Grn,0.612183326
Grpel1,0
Gsdmdc1,0
Gsn,1.305289956
Gstk1,0.492133353
Gstm1,0.921933322
Gtf2f1,0.566700027
Gtf2f2,0.999380003
Gusb,0.573789981
Gvin1,0.864023341
H1f0,0.564043335
H2-Aa,0.755506632
H2-Ab1,0.983553332
H2-D1,0
H2-D1;H2-L,1.532800071
H2-DMa,0.582396663
H2-DMb1;H2-DMb2,1.054993336
H2-K1,1.584833347
H2-T23,0.787023355
H2afx,1.274866678
H2afy,1.06701667
H2afz;H2afv,1.029799999
Hadha,0.79516001
Hadhb,0.779210004
Hba;Hba-a1,0.680566715
Hbxip,0.774886664
Hck,1.241166676
Hcls1,0.876386661
Hdac1;Gm10093,1.191076623
Hdhd2;Ier3ip1,0.768836677
Heatr7a,0.611703311
Hexa,0.865556666
Hexb,0.936773312
Hfe,1.25770001
Hgs,1.207099976
Hgsnat,0.645956667
Hint2,0
Hist1h1a,0.956176684
Hist1h1b,0.959170012
Hist1h1c,1.049500016
Hist1h1d,1.135956642
Hist1h1e,1.006796671
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,1.067163314
Hist1h3b;Hist1h3a,1.356399958
Hist1h4a,1.440100018
Hist2h2aa1;Hist1h2al;Hist2h2ac,1.434900015
Hist3h2bb;Hist3h2ba,0.292783346
Hk1,0.602059938
Hk2,0
Hm13;H13,0.897440016
Hmga1,0
Hmga2,0.426500016
Hmgb1,1.043096656
Hmgb2,1.242566673
Hmgcl,0.870503343
Hmgn2,0
Hmha1,0.834776674
Hmox1,0.802329998
Hmox2,0.849949988
Hn1l,0.350533323
Hnrnpa0,1.275333294
Hnrnpa1,1.518266678
Hnrnpa2b1,1.70180003
Hnrnpa3;Gm6793;Gm8991,1.346166655
Hnrnpab,1.246700043
Hnrnpc,1.541900052
Hnrnpd,1.226666881
Hnrnpf,0.617946637
Hnrnph1,1.325366679
Hnrnpk;Gm7964,1.193186701
Hnrnpl,1.082413305
Hnrnpm,1.136000014
Hnrnpu,0.924646681
Hp1bp3,1.107509988
Hpcal1;Hpca,0.952769994
Hps1,0.340933323
Hps3,0
Hps4,0.832636696
Hpse,0.684089999
Hras1,1.05519669
Hs2st1,0.610636656
Hsd17b10,1.007063361
Hsd17b11,0.733950011
Hsd17b12,0.890513313
Hsd17b4,0.949446656
Hsdl1,0.1449
Hsp90aa1,1.136806701
Hsp90ab1,1.021859984
Hsp90b1,0.921053313
Hspa4,0.654393371
Hspa5,1.005723316
Hspa8,1.125819966
Hspa9,0.892660014
Hspd1,0.925046686
Hspe1,0.960553318
Hspg2,0.42441999
Htatip2,0.866433336
Hvcn1,1.189400014
Hyal1,0.492666677
Hyou1,0.972809987
Icam1,1.483299969
Idh1,0.901166657
Idh2,1.007999992
Idh3a,1.005140007
Idh3b,0.894990002
Idh3g,0.221153334
Ids,1.194103362
Idua,0.757603319
Ifi204,1.523833352
Ifi205b,1.204006639
Ifi30,0.744783349
Ifit1,0.431766674
Ifitm2,1.21753333
Ifitm3,1.556033303
Ifngr1,0.760199984
Igbp1,0
Igf2r,1.111033307
Igsf6,1.832499898
Igtp,0.875073327
Il16,0.744010013
Ilk,0
Ilvbl,0
Inf2,1.173770015
Inpp5d,1.182440015
Iqgap1,1.099403311
Iqgap2,0
Irf2bp2,1.04313665
Irgm1,0.781626662
Irgm2,1.060386692
Isg15,0.98653335
Isg20,0.454199996
Ist1,0.983629991
Itch,0.562576673
Itga4,1.619733375
Itga5,1.680733344
Itga6,1.607300035
Itgam,1.942999963
Itgav,1.596866591
Itgax,1.384866682
Itgb1,1.543933287
Itgb2,1.740800008
Itgb5,1.504166653
Itm2b,1.151046664
Itsn2,1.278299986
Jak1,1.499966705
Jup,0.869726708
Kat2a,0
Kcnab2,0
Kcnk6,0.58254335
Kcnn4,0.25609999
Kctd12,0.741713325
Kdelr1,0.550906664
Kdm1a,0.24361666
Kdm3b,0.558303335
Khdrbs1,1.155503348
Khsrp,0.91416667
Kiaa0196,0.9089733
Kiaa0226;1700021K19Rik,0.801156702
Kiaa0907,0
Kiaa1033,0.988570019
Kiaa1598,0.255729996
Kiaa1671,0.752063339
Kif13b,0
Kif16b,1.379999991
Kif1a,0.962199989
Kif5b,0.990199976
Kpnb1,1.275993348
Kras,1.206099982
Krt28;Krt24,4.808200793
Krt76,4.831067641
Lamp1,0.818946662
Lamtor1,0.776950002
Lamtor2,0.651516661
Lamtor3,0.71835664
Lancl1,0
Laptm5,0.624133282
Lasp1,1.188743348
Lat2,1.43049964
Lbr,1.197363339
Lcp1,0.946949997
Lcp2,1.232966682
Ldha,1.014760021
Ldlr,0.433599981
Lgals1,1.017630001
Lgals3,0.939060021
Lgals3bp,0.856059991
Lgals3bpF6VRP8,0.676173363
Lgals8,0.791476645
Lgals9,0.819020015
Lgmn,0.829059992
Lig1,0.863359975
Lilrb3,1.615199976
Lilrb4,1.476666654
Lima1,0
Limd2,0.784186642
Lims1,0.745966641
Lin7c;Lin7a,0.427866668
Lipa,0.778556638
Lman1,0.909033331
Lman2,0.86829666
Lmbrd1,0.615116649
Lmbrd2,0.98325999
Lmna,1.366166671
Lmnb1,1.333266678
Lmnb2,1.224266673
Lnpep,1.249033348
Loh12cr1,0.758429999
Lpcat2,0.713980012
Lpl,1.287699999
Lrp1,1.50923337
Lrp1b,1.2817667
Lrpap1,1.03461331
Lrpprc,0
Lrrc25,1.963733555
Lrrc57,0.998989965
Lrrc59,0.943313317
Lrrc8c,0.500533349
Lsp1,1.607900003
Lss,1.118653303
Ly86,0.712053321
Ly9,1.825333356
Lyn,1.596733304
Lypla2,0
Lyz1,0.633436662
Lyz2,0.798516666
M6pr,1.337633358
Macf1,1.092140042
Magt1,0
Man1a1,1.056810012
Man1c1,0.510699977
Man2a1,1.034243304
Man2b1,0.826166673
Man2b2,0.860993343
Manba,0.771373332
ManbaQ8K2I4,0.701286662
Manf,0.923523315
Map1s,1.066973338
Map2k1;Map2k2,2.507766147
Map2k4,0
Map3k11,1.231569962
Map4;Mtap4,1.252999981
Mapre1,0.382200004
Marc2;Mosc2,0.69026669
Marcks,0.646663321
Marcksl1,0.605603279
Mark2,0.960533327
Matr3,1.349166683
Mavs,0.330043335
Mboat7,0
Mbp,0.984633309
Mcl1,0.735779998
Mcoln1,0.248980006
Mcoln2,0
Mdh1,0.493543322
Mdh2,0.830870013
Me2,0
Mef2bnb;2310045N01Rik,0
Mesdc2,0
Mettl3,0
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,0.653743311
Mfge8,1.1093
Mfsd1,0.417306656
Mfsd12,0.590519985
Mfsd7,0.476300015
Mfsd8,0.64465333
Mgat1,0.336599985
Mgp,0
Mia3,0.876359999
Mic1,0.792373327
Milr1,1.739966914
Mki67,1.413033358
Mlec,0.63103668
Mlst8,0
Mob1b;Mob1a,0.694833331
Mob4,0.570103347
Mon1a,0.993566674
Mon1b,0.759076684
Mpdu1,0
Mpeg1,0.555816672
Mpo,0.373666721
Mpp1,1.18613335
Mrc1,1.264899951
Ms4a4c,0.950859975
Msn,1.81126679
Msr1,1.382366648
Msra,0
Mtatp8;mt-Atp8,0.75854335
Mtch2,0.684426682
Mtco1;mt-Co1,0.463600006
Mtco2;mt-Co2,0.900603349
Mtdh,0.722243348
Mtss1,1.126156675
