Gene names,2015 Dill Phosphatidylserine Late
Fam45a,1.056579981
Fam49b,0.61902334
Fam50a,0.959150041
Fam54b,0.717283309
Far1,0.330386699
Farsa,0.313896674
Farsb,0.441473328
Fbln2,0.234896659
Fcer1g,0.966249977
Fcgr1,0.99131336
Fcgr2;Fcgr2b,0.123586709
Fcgr3,1.580333214
Fcgr3P08508,0.625723356
Fcgrt,0.356413342
Fcrls,0.716883362
Fdps,0
Fen1,1.229166654
Fermt3,1.109396663
Fes,1.148300163
Fh,1.354866704
Fis1,1.020146644
Fkbp15,1.24077998
Fkbp2,1.174100039
Fkbp8,1.208853347
Flcn,0.326509992
Flna,0.946989999
Flnc,0.065643342
Flot1,1.548633315
Flot2,1.262466716
Fmnl1,0.932059998
Fn1,0.888799998
Fnbp1,0
Folr2,0.732903402
Frmd8,0
FRRS1,0.975236661
Fth1,0.654143328
Ftl1;Ftl2,0.613930004
Fuca1,0.839809983
Fuca2,0.858743358
Fus;Taf15,0
Fxyd5,0
Fyb,0.646443323
Fyco1,0.679700222
Fyn,0.880290014
G3bp1,0.739583347
G3bp2,0.453246674
G6pdx,0.801873337
Gaa,1.406300018
Gabarap;Gabarapl1,0.483253316
Gabarapl2,0.957356672
Gak,0.969446657
Galc,1.319699971
Galns,0.942916629
Galnt2,0.610856698
Galnt7,0.549416676
Ganab,1.196336698
Gapdh;Gm7293;Gm6316,1.004679997
Gas7,0.402666651
Gba,1.672166713
Gbp5,0.627439993
Gclm,0.162686619
Gdap2,1.494166662
Gdi2,1.210633339
Ggh,0.853643354
Ggta1,0
Gla,0.972323335
Glb1,1.009203336
Glb1l,0.919666678
Glg1,0.46403665
Glipr1,0.932510019
Glipr2,0.857916681
Gls,0
Glt25d1,0.601716657
Gltp,1.375633344
Glud1,0.582406672
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,0.900586677
Gm10119;Rps3a;Gm9000,0.640026661
Gm10126;Rps29,0
Gm10320;Sec61b,1.140753356
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.851099742
Gm14548,0.630283318
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,0.430499983
Gm17352;Rps18;Gm5321,0.717529985
Gm20390;Nme2;Nme1,0.812233327
Gm20425;Srprb,0.563456702
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,2.526700076
Gm20489;Il2rg,0.307103338
Gm20498;Synj2bp,0.778813332
Gm2382;Mthfs,0
Gm2a,2.144800114
Gm5431;OTTMUSG00000005540;9930111J21Rik,0
Gm5576;Eif4a3,0.745099758
Gm6377,0
Gm8394;Psma5,0.68626666
Gm9755;Tufm,1.201906642
Gmip,0.173206671
Gmpr2,0.831953323
Gna13,0.661056664
Gnai2;Gnai1,1.058130003
Gnai3,0.852750007
Gnaq,1.041663332
Gnas,1.043466658
Gnb1,1.307933348
Gnb2,1.224303331
Gnb2l1,0.879043335
Gnb4,0.42293334
Gng12,1.067510008
Gng2,0.892569984
Gng5,0.585056657
Gns,1.23520001
Golga1,0
Golga4,0.927353297
Golga5,0
Golga7,1.232140006
Golgb1,0.076496656
Gosr1,0.191160003
Got2,0.714899986
Gp49a,0
Gpatch8,0
Gpd2,0.61134667
Gpi;Gm1840,1.18333336
Gpld1,0
Gpnmb,1.189720003
Gpr107,0.784316655
Gpr108,0.109890037
Gpr137b,0.98329999
Gpsm3,0
Gpx1,1.243729962
Gpx4,0.834703339
Grap2,0
Grb2,0.54226666
Grn,1.088803314
Grpel1,0.243476662
Gsdmdc1,0.323363323
Gsn,0.804496681
Gstk1,0
Gstm1,0.706559989
Gtf2f1,0.276970008
Gtf2f2,0.831149988
Gusb,0.670756629
Gvin1,0.877756667
H1f0,1.387776676
H2-Aa,1.11950667
H2-Ab1,0.884566637
H2-D1,0.497276666
H2-D1;H2-L,0.683456644
H2-DMa,0.635476679
H2-DMb1;H2-DMb2,0.82489333
H2-K1,0.679833328
H2-T23,0
H2afx,1.453866713
H2afy,0.983873302
H2afz;H2afv,1.166970014
Hadha,0.73417999
Hadhb,0.767056687
Hba;Hba-a1,0.22956667
Hbxip,1.872066589
Hck,0.96643333
Hcls1,0.721083341
Hdac1;Gm10093,0.469046634
Hdhd2;Ier3ip1,0.198426663
Heatr7a,1.375166669
Hexa,0.92908001
Hexb,1.035373343
Hfe,0
Hgs,0.57255666
Hgsnat,1.260300011
Hint2,0
Hist1h1a,0.936490004
Hist1h1b,1.023949978
Hist1h1c,0.793786656
Hist1h1d,0.896303329
Hist1h1e,1.497893319
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,1.374133343
Hist1h3b;Hist1h3a,1.297166674
Hist1h4a,2.012100045
Hist2h2aa1;Hist1h2al;Hist2h2ac,2.599133087
Hist3h2bb;Hist3h2ba,1.393100028
Hk1,0.917029983
Hk2,0
Hm13;H13,0.626680024
Hmga1,0
Hmga2,0
Hmgb1,0.932680007
Hmgb2,0.915416641
Hmgcl,0.611950016
Hmgn2,1.050233352
Hmha1,0.687796691
Hmox1,1.090343333
Hmox2,1.182933346
Hn1l,0.991306591
Hnrnpa0,1.063916679
Hnrnpa1,0.907600009
Hnrnpa2b1,1.047323324
Hnrnpa3;Gm6793;Gm8991,0.695823317
Hnrnpab,0.359399996
Hnrnpc,0.786639971
Hnrnpd,1.436500021
Hnrnpf,1.189400158
Hnrnph1,1.338616681
Hnrnpk;Gm7964,1.498566662
Hnrnpl,1.162600044
Hnrnpm,1.291766668
Hnrnpu,0.641910003
Hp1bp3,0.809323333
Hpcal1;Hpca,2.783199667
Hps1,1.068656688
Hps3,0
Hps4,1.774533404
Hpse,1.225099998
Hras1,0.916136651
Hs2st1,0
Hsd17b10,1.009546658
Hsd17b11,0.972239993
Hsd17b12,0.967163348
Hsd17b4,0.727216667
Hsdl1,0.617986655
Hsp90aa1,0.947579995
Hsp90ab1,0.789886653
Hsp90b1,0.775613336
Hspa4,0.412516651
Hspa5,1.014080007
Hspa8,0.764626647
Hspa9,0.649093319
Hspd1,0.814590024
Hspe1,0.639436681
Hspg2,0.377193382
Htatip2,1.348700027
Hvcn1,0.642459995
Hyal1,0.759966691
Hyou1,0.963066653
Icam1,0.921600007
Idh1,0
Idh2,0.395553331
Idh3a,0
Idh3b,0.574600002
Idh3g,0
Ids,1.037830025
Idua,1.363000027
Ifi204,1.249533362
Ifi205b,1.912799954
Ifi30,1.25373333
Ifit1,0.678766609
Ifitm2,0.509046619
Ifitm3,0.709533312
Ifngr1,0
Igbp1,0
Igf2r,0.745413344
Igsf6,0.253060002
Igtp,0.982126625
Il16,1.116263342
Ilk,0.371963351
Ilvbl,0
Inf2,0.430496612
Inpp5d,0.981066673
Iqgap1,0.933426662
Iqgap2,0
Irf2bp2,1.213333317
Irgm1,1.119933351
Irgm2,0.935396676
Isg15,0.720226658
Isg20,0.499120018
Ist1,0.968350022
Itch,0.366033323
Itga4,0.885240022
Itga5,0.635530002
Itga6,0.612023339
Itgam,0.506530011
Itgav,0.616330006
Itgax,0.109113348
Itgb1,0.522440033
Itgb2,0.458006635
Itgb5,0.561646662
Itm2b,0.543623317
Itsn2,0.486326629
Jak1,0.555850017
Jup,0.327340006
Kat2a,0
Kcnab2,0
Kcnk6,1.096570015
Kcnn4,1.175766675
Kctd12,1.228606712
Kdelr1,0
Kdm1a,0
Kdm3b,0.366966685
Khdrbs1,0.956846651
Khsrp,1.169913361
Kiaa0196,0.507696655
Kiaa0226;1700021K19Rik,1.50490002
Kiaa0907,0
Kiaa1033,0.599786686
Kiaa1598,0
Kiaa1671,0.314520001
Kif13b,0
Kif16b,0.670200017
Kif1a,0.587633358
Kif5b,0.516883328
Kpnb1,1.346166725
Kras,1.146100023
Krt28;Krt24,7.561332359
Krt76,4.61429959
Lamp1,1.350666695
Lamtor1,2.159033596
Lamtor2,1.384766714
Lamtor3,1.397733345
Lancl1,0
Laptm5,0.297543299
Lasp1,1.307866653
Lat2,0.333833337
Lbr,0.912086654
Lcp1,0.927536677
Lcp2,0.573666648
Ldha,0.653066653
Ldlr,0
Lgals1,0.836503321
Lgals3,0.845976669
Lgals3bp,1.08953333
Lgals3bpF6VRP8,1.071973331
Lgals8,0.8775333
Lgals9,0.66242666
Lgmn,0.996226681
Lig1,0.823753309
Lilrb3,0.605773315
Lilrb4,0.606403349
Lima1,1.148766673
Limd2,1.049166637
Lims1,0.699320016
Lin7c;Lin7a,0
Lipa,0.88357
Lman1,1.189816648
Lman2,0.905776673
Lmbrd1,0.957806697
Lmbrd2,0.789736666
Lmna,1.289600035
Lmnb1,1.589666768
