Gene names,2015 Dill Mannan Late
Csrp1,1.181986652
Cst3,0.500263339
Cst7,0.444333309
Cstb,1.403266674
Ctbs,1.153733306
Ctdsp1,0.764816633
Ctnnd1,0.890899994
Ctsa,1.064603333
Ctsb,0.969383354
Ctsc,1.123503316
Ctsd,1.389699944
Ctsf,1.547333297
Ctsh,1.355199939
Ctsl1,1.146160009
Ctso,0.610600002
Ctss,0.956110002
Ctsz,1.03858333
Cttnbp2nl,0.415696662
Cuedc2,0.50032332
Cux1,0
Cwc15,0.88487334
Cxcl2,0
Cyb5a;Cyb5,1.051666669
Cyb5b,0.929819991
Cyb5r3,0.846126697
Cyba,1.345700036
Cybb,1.110559994
Cyc1,0.350766659
Cyfip1,0.762993301
Cyp20a1,0.635940003
D10Jhu81e,0.194436665
D10Wsu52e,0.258443334
D17Wsu104e,1.079773315
Dab2,1.079500002
Dad1,1.086243321
Daglb,1.25423333
Dars,0
Dbi,1.10293665
Dbr1,0.511183376
Ddb1,0
Ddost,1.332366661
Ddrgk1,0
Ddx1,0.716503312
Ddx39b;Ddx39a,1.210189998
Ddx3x;D1Pas1,0.681340022
Ddx3y,0.181116636
Ddx42,0.517419944
Ddx46,0.480499988
Ddx5,0.796816643
Decr1,0.357600014
Degs1,0.781276681
Dek,0.629966667
Dennd1a,0.625913349
Dhrs1,1.034440015
Dhrs4,0.288969994
Dhrs7,1.087966653
Dhx15,0.203763323
Dhx9,0.32347999
Diap1;Diaph1,0.481850063
Diap2;Diaph2,1.187319996
Dirc2,1.257700045
Dlat,0
Dld,0.656543331
Dlst,0.60638002
Dmxl1,0.741966654
Dnaja1,0.931436635
Dnaja2,0.466566684
Dnajb11,1.055043345
Dnajb6,0.955229994
Dnajc13,0.41632005
Dnajc3,1.254743355
Dnajc5,1.463499966
Dnajc8,0.754743339
Dnajc9,0.766656626
Dnase1l1,0.377513377
Dnase2;Dnase2a,1.15322333
Dnm2,0.801110003
Dnm3,0.235616667
Dock2,0.618116683
Dock8,0.353749967
Dok1,0.397966666
Dok2,1.14119668
Dok3,0.37706666
Dpep2,0
Dpm1,0.812983302
Dpp7,1.179316647
Dpysl2,0.828286687
Dram1,1.357503331
Dram2,0.959836651
Drg1,0
Dscr3,1.434366658
Dstyk,0.899833321
Dtx3l,0.245983338
Dusp22,0.703863332
Dusp3,0
Dync1h1,0.826033328
Dync1i2,0
Dync1li1,2.060233042
Dynll2,0.672496693
E030010N08Rik,0
Ear2;Ear3,1.660633309
Ece1,0.143216687
Echs1,0.925853306
Edil3,0.886316666
Eea1,0.229603307
Eef1a1,1.162056661
Eef1b,0
Eef1d,0.440333313
Eef1g,0.895383272
Eef2,1.139386617
Efhd2,0.752999967
Ehbp1l1,0
Ehd1,1.57646654
Ehd4,1.797100073
Eif1a;Eif1ax,0
Eif2s1,0.379533332
Eif2s3x;Eif2s3y,0.537900002
Eif3d,0.503473327
Eif3l,0
Eif4a1;Eif4a2,0.877626647
Eif4e,0.72943004
Eif4e2,0
Eif4enif1,0
Eif4g1,0.228480002
Eif4g2,0.735306658
Eif4h,2.208000023
Eif5a;Eif5a2,1.100973318
