Gene names,2015 Dill IgG Early
Ctnnd1,1.188400015
Ctsa,0.588106655
Ctsb,0.784713403
Ctsc,0.486326675
Ctsd,0.554783306
Ctsf,0.111186651
Ctsh,0.48082003
Ctsl1,0.863460004
Ctso,0
Ctss,0.574970026
Ctsz,0.578530005
Cttnbp2nl,0.935766664
Cuedc2,0.327003341
Cux1,0
Cwc15,1.164929992
Cxcl2,0
Cyb5a;Cyb5,0.84466
Cyb5b,0.78855667
Cyb5r3,0.766749977
Cyba,1.330533385
Cybb,0.89907668
Cyc1,0.754400002
Cyfip1,2.08893346
Cyp20a1,1.097453311
D10Jhu81e,0.443699982
D10Wsu52e,0.822029998
D17Wsu104e,0.695546668
Dab2,1.76933335
Dad1,1.059110003
Daglb,0.784940004
Dars,0
Dbi,0
Dbr1,0.793203342
Ddb1,0.628226687
Ddost,0.999936653
Ddrgk1,0.261316658
Ddx1,1.271499997
Ddx39b;Ddx39a,1.595799941
Ddx3x;D1Pas1,1.575966688
Ddx3y,1.29810002
Ddx42,1.046020002
Ddx46,0.751059986
Ddx5,1.179433348
Decr1,0
Degs1,1.241700001
Dek,0
Dennd1a,0.918036666
Dhrs1,0.724369991
Dhrs4,0.644253314
Dhrs7,0.585666676
Dhx15,0.76603334
Dhx9,1.003733283
Diap1;Diaph1,0.82512002
Diap2;Diaph2,1.179119984
Dirc2,0.405689984
Dlat,0.911023313
Dld,0.714463331
Dlst,0.732983336
Dmxl1,0.859976668
Dnaja1,1.606766805
Dnaja2,1.695933349
Dnajb11,0.867009999
Dnajb6,1.384866656
Dnajc13,0.96667667
Dnajc3,0.902073329
Dnajc5,0.874016677
Dnajc8,1.194706658
Dnajc9,1.537666686
Dnase1l1,2.218100202
Dnase2;Dnase2a,0.590813296
Dnm2,0.985913317
Dnm3,0
Dock2,1.274366694
Dock8,1.075250031
Dok1,0.285796668
Dok2,0.297053337
Dok3,0
Dpep2,1.240800011
Dpm1,0
Dpp7,0.53813335
Dpysl2,0.747443333
Dram1,0.532083314
Dram2,0.31446669
Drg1,0
Dscr3,0.822479987
Dstyk,0
Dtx3l,0.114196671
Dusp22,0.152876706
Dusp3,0.378333334
Dync1h1,0.852506683
Dync1i2,0
Dync1li1,0.470836658
Dynll2,0.616263331
E030010N08Rik,0
Ear2;Ear3,0
Ece1,1.102313296
Echs1,1.164863305
Edil3,0.808200015
Eea1,1.202033368
Eef1a1,1.283133307
Eef1b,0.209506673
Eef1d,0.423433348
Eef1g,0.94533335
Eef2,1.064366669
Efhd2,0.811293309
Ehbp1l1,0
Ehd1,0.991100012
Ehd4,1.082216641
Eif1a;Eif1ax,0
Eif2s1,0.714233308
Eif2s3x;Eif2s3y,0.742336687
Eif3d,0.862166665
Eif3l,0
Eif4a1;Eif4a2,1.054893344
Eif4e,1.078570031
Eif4e2,0.18051666
Eif4enif1,0.535473332
Eif4g1,0.96392999
Eif4g2,1.407933347
Eif4h,0.97062002
Eif5a;Eif5a2,1.074499969
Eif6,0.955749984
Elavl1,1.784900097
Elmo1,1.328466685
Elmo2,0.320930004
Elovl1,0.355133334
