Gene names,2015 Dill LPS Early
Cln3,0.86677668
Cln5,0.601029987
Clptm1,0.193723342
Clrn2,0.136990001
Clta,0.96559999
Cltc,0.866700008
Cmtm6,2.17990026
Cndp2,1.259166636
Cnn2,0.769803364
Cnot4,0.437366674
Cnp,1.082666679
Cnpy2,0.409600022
Cnpy3,0.183719988
Cnpy4,0.522836718
Col4a4,0.252443336
Col6a3,0.787133092
Colec12,1.79056665
Commd1,1.17410003
Commd10,1.158493298
Commd2,1.203120022
Commd3,1.094043366
Commd4,1.086266683
Commd5,1.007343372
Commd6,1.123896669
Commd7,1.065866676
Commd8,1.131466711
Commd9,1.242993331
Comt,1.088010029
Copb2,0.65967665
Coro1a,1.42863331
Coro1c,1.624966734
Coro2a,0.893800028
Cotl1,0.075546645
Cox4i1,0.926349996
Cox4nb,0.201140011
Cox5a,0.673073343
Cox5b,1.108643299
Cox6a1,0.861416674
Cox6b1,0.970159998
Cox6c,1.047190008
Cox7a2,0.513159976
Cox7c,0.661716679
Cpd,0.451833329
Cpne1,0.803503385
Cpne2,1.266499999
Cpne3,1.260686678
Cpq,0.782303335
Cpt1a,0.333999992
Cr1l,1.808999934
Creg1,0.944803312
Crip1,0.832723309
Cs,0.99830003
Csf1,1.266170015
Csf1r,0.427466709
Csf2ra,0
Csk,0
Csnk1a1,0.73663333
Csnk1g3,0
Csnk2b,0.254829994
Csrp1,0.752173315
Cst3,0.836139976
Cst7,0
Cstb,1.21010997
Ctbs,0.724283356
Ctdsp1,0.745453325
Ctnnd1,1.441533314
Ctsa,0.779323335
Ctsb,0.825543317
Ctsc,0.712453326
Ctsd,0.663823321
Ctsf,0.49407328
Ctsh,0.711406648
Ctsl1,0.97509001
Ctso,0
Ctss,0.783363328
Ctsz,0.677186614
Cttnbp2nl,1.344403319
Cuedc2,0.466916681
Cux1,0
Cwc15,0.876563388
Cxcl2,0
Cyb5a;Cyb5,0.835203344
Cyb5b,0.80998667
Cyb5r3,0.861006652
Cyba,1.053366702
Cybb,1.052400029
Cyc1,0.621673339
Cyfip1,1.315933307
Cyp20a1,0.743149974
D10Jhu81e,0.629006639
D10Wsu52e,1.047699835
D17Wsu104e,0.891959982
Dab2,1.354179999
Dad1,1.006523284
Daglb,1.024923331
Dars,0.404333347
Dbi,0.609163337
Dbr1,0.600986632
Ddb1,0.622339996
Ddost,1.069780033
Ddrgk1,0
Ddx1,1.197769991
Ddx39b;Ddx39a,0.963666666
Ddx3x;D1Pas1,1.356226841
Ddx3y,1.0042067
Ddx42,1.26301666
Ddx46,0
